,Primary_Only,Primary_with_U_Primary,Primary_with_U_Primary_Sec_HrSec,U_Primary_Only,U_Primary_With_Sec_HrSec,Primary_with_U_Primary_Sec,U_Primary_With_Sec,Sec_Only,Sec_with_HrSec.,HrSec_Only,All Schools,state,year
14,22.28,53.42,62.69,47.6,84.78,56.86,41.46,41.06,64.66,68.58,37.78,Bihar,2015-16
15,100.0,100.0,100.0,79.64,100.0,100.0,87.15285714285714,74.586,90.69857142857143,92.82833333333333,100.0,Chandigarh,2013-14
16,100.0,100.0,100.0,80.21857142857142,100.0,100.0,88.75142857142858,77.78399999999999,89.42428571428572,91.42857142857143,100.0,Chandigarh,2014-15
17,100.0,100.0,100.0,81.5,100.0,100.0,90.22,78.65799999999999,92.90714285714284,85.71428571428571,100.0,Chandigarh,2015-16
18,49.75,84.67,98.22,62.85,86.5,93.68,65.82,47.25,84.33,43.48,57.28,Chhattisgarh,2013-14
19,60.51,88.83,98.92,72.18,89.93,96.02,75.38,55.21,86.54,47.62,66.88,Chhattisgarh,2014-15
20,66.51,90.56,99.35,76.94,89.82,95.74,81.69,65.58,93.13,80.0,72.66,Chhattisgarh,2015-16
21,93.92,100.0,100.0,100.0,100.0,100.0,95.52,100.0,100.0,100.0,96.79,Dadra & Nagar Haveli,2013-14
22,97.16,100.0,100.0,100.0,100.0,100.0,95.9725,100.0,100.0,100.0,98.55,Dadra & Nagar Haveli,2014-15
23,100.0,100.0,100.0,100.0,100.0,100.0,98.02250000000001,100.0,100.0,100.0,100.0,Dadra & Nagar Haveli,2015-16
24,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Daman & Diu,2013-14
25,100.0,100.0,100.0,100.0,100.0,100.0,95.97249999999998,100.0,100.0,100.0,100.0,Daman & Diu,2014-15
26,100.0,100.0,100.0,100.0,100.0,100.0,98.0225,100.0,100.0,100.0,100.0,Daman & Diu,2015-16
27,100.0,100.0,100.0,100.0,100.0,100.0,100.0,74.586,100.0,100.0,100.0,Delhi,2013-14
28,100.0,100.0,100.0,100.0,100.0,100.0,100.0,77.78399999999999,100.0,100.0,100.0,Delhi,2014-15
29,100.0,100.0,100.0,100.0,100.0,100.0,100.0,78.658,100.0,100.0,100.0,Delhi,2015-16
30,98.83,100.0,100.0,100.0,100.0,100.0,100.0,97.14666666666666,99.09142857142857,100.0,98.17,Goa,2013-14
31,98.69,100.0,100.0,100.0,100.0,97.11,99.08,97.61166666666666,99.37857142857142,100.0,98.72,Goa,2014-15
32,99.79,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.34857142857143,100.0,99.87,Goa,2015-16
33,99.33,99.86,100.0,99.85,100.0,100.0,100.0,99.44,99.97,99.7,99.72,Gujarat,2013-14
34,99.27,99.87,100.0,100.0,99.52,100.0,97.33,99.64,99.97,99.73,99.72,Gujarat,2014-15
35,99.23,99.86,100.0,100.0,100.0,100.0,100.0,99.74,100.0,100.0,99.73,Gujarat,2015-16
36,98.87,99.58,100.0,96.0,99.78,99.68,99.74,74.586,82.05,93.2765625,98.89,Haryana,2013-14
37,98.61,99.7,100.0,95.7,99.79,99.79,99.37,77.78399999999999,75.0,100.0,98.74,Haryana,2014-15
38,98.7,99.96,100.0,96.53,99.79,100.0,99.58,78.65799999999999,91.3,100.0,98.97,Haryana,2015-16
39,94.76,97.91,99.83,88.25,99.57,99.66,98.1,100.0,100.0,100.0,94.9,Himachal Pradesh,2013-14
40,93.99,97.95,99.82,85.79,99.55,99.85,97.76,100.0,100.0,100.0,94.22,Himachal Pradesh,2014-15
41,96.13,99.0,99.82,89.68,99.82,99.85,99.1,100.0,100.0,100.0,96.24,Himachal Pradesh,2015-16
42,10.05,22.48,94.21,44.12,79.05,70.0,56.64,41.18,85.37,66.67,23.47,Jammu And Kashmir,2013-14
43,11.67,25.67,96.79,48.51,87.5,75.19,66.75,64.52,89.81,50.0,26.39,Jammu And Kashmir,2014-15
44,16.01,30.77,97.33,51.13,94.74,80.06,72.22,58.82,92.47,50.0,30.97,Jammu And Kashmir,2015-16
45,7.99,20.3,85.59,29.27,66.43,41.92,54.66,53.39,68.25,75.42,16.35,Jharkhand,2013-14
46,8.48,23.77,88.15,52.63,66.75,43.57,55.01,58.01,70.43,76.95,17.98,Jharkhand,2014-15
47,9.3,26.06,88.27,46.62,68.06,45.73,58.49,58.91,72.58,79.31,19.45,Jharkhand,2015-16
48,96.37,98.37,99.03,97.11,98.51,98.49,96.73,94.25,98.1,89.53,96.78,Karnataka,2013-14
49,97.05,98.7,99.22,98.59,100.0,99.44,97.63,96.6,99.17,92.04,97.64,Karnataka,2014-15
50,96.81,98.81,100.0,98.07,100.0,100.0,99.87,99.99,100.0,93.06,98.12,Karnataka,2015-16
51,93.57,98.03,99.1,98.66,99.49,98.61,99.35,96.90625,99.42999999999999,94.59,96.08,Kerala,2013-14
52,94.85,98.85,99.5,99.54,99.61,98.61,99.74,100.0,99.08,98.18,97.01,Kerala,2014-15
53,95.57,98.96,99.51,99.69,99.9,98.75,99.73,100.0,100.0,98.46,97.46,Kerala,2015-16
54,100.0,100.0,100.0,100.0,100.0,97.73571428571428,96.0,97.0247619047619,100.0,99.4192857142857,100.0,Lakshadweep,2013-14
55,100.0,100.0,100.0,100.0,100.0,97.33678571428572,96.13196428571429,97.5135119047619,100.0,99.60607142857144,100.0,Lakshadweep,2014-15
56,100.0,100.0,100.0,100.0,100.0,100.0,98.16375000000001,97.98928571428571,100.0,99.44333333333333,100.0,Lakshadweep,2015-16
57,12.89,83.37,93.73,24.51,93.5,92.41,83.05,47.06,74.99,100.0,28.27,Madhya Pradesh,2013-14
58,11.84,84.03,95.38,23.42,93.89,94.12,87.76,48.02,77.61,80.0,28.29,Madhya Pradesh,2014-15
59,11.31,85.17,96.15,24.1,95.08,94.98,88.89,52.09,79.93,77.78,28.8,Madhya Pradesh,2015-16
60,89.44,96.67,98.14,88.75,98.67,99.17,95.64,91.44,95.63,96.31,92.75,Maharashtra,2013-14
61,90.75,97.33,99.29,85.59,99.11,99.27,96.87,94.03,97.64,97.58,93.93,Maharashtra,2014-15
62,90.62,97.29,98.31,89.47,99.31,98.84,97.12,94.58,97.5,96.66,93.94,Maharashtra,2015-16
63,9.53,42.06,93.1,42.86,95.45,75.44,77.48,45.45,95.0,100.0,30.97,Manipur,2013-14
64,9.73,42.42,95.74,44.26,91.3,74.96,77.63,46.34,90.48,100.0,30.66,Manipur,2014-15
65,14.64,61.95,100.0,46.03,95.45,85.98,86.93,40.0,95.24,95.52,39.27,Manipur,2015-16
66,13.83,54.14,100.0,35.25,97.5,91.86,84.21,59.71,93.24,86.67,24.49,Meghalaya,2013-14
67,14.86,60.53,100.0,38.78,95.83,89.47,88.36,62.34,94.19,87.63,26.72,Meghalaya,2014-15
68,15.61,56.28,100.0,41.15,93.55,90.65,89.4,66.3,95.31,91.48,28.54,Meghalaya,2015-16
69,61.97,82.03,91.38125000000001,79.26,89.83625,82.27125,74.604375,85.22,91.03541666666668,93.81,73.79,Mizoram,2013-14
70,64.07,78.37,96.61375,78.41,91.44375000000001,82.62843749999999,77.5840625,87.38,88.37083333333334,94.7,74.56,Mizoram,2014-15
71,65.66,80.72,97.801875,81.73,94.854375,86.360625,87.38374999999999,89.92,91.17291666666667,94.93,76.86,Mizoram,2015-16
72,18.38,54.55,98.88,39.02,85.19,93.27,72.36,50.0,100.0,95.83,39.06,Nagaland,2013-14
73,18.07,40.54,96.94,49.35,84.09,90.85,73.36,33.33,100.0,100.0,40.94,Nagaland,2014-15
74,22.85,62.72,99.05,74.36,89.13,90.5,75.42,100.0,100.0,100.0,51.7,Nagaland,2015-16
75,13.09,38.44,95.87,32.13,93.48,56.93,63.76,66.34,75.352,74.70733333333335,27.88,Odisha,2013-14
76,13.89,41.16,98.23,33.2,98.11,61.28,67.8,66.09,78.23466666666667,76.90377777777778,29.73,Odisha,2014-15
77,15.49,44.79,92.36,35.17,95.0,65.59,70.59,70.16,83.264,86.03,33.03,Odisha,2015-16
78,100.0,100.0,100.0,98.24799999999999,100.0,100.0,100.0,96.975,100.0,100.0,100.0,Puducherry,2013-14
79,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.81111111111109,100.0,100.0,100.0,Puducherry,2014-15
80,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.67733333333332,100.0,100.0,100.0,Puducherry,2015-16
81,99.93,99.71,99.87,100.0,100.0,99.82,100.0,100.0,100.0,98.63,99.86,Punjab,2013-14
82,99.86,99.85,99.96,99.69,100.0,99.96,100.0,100.0,100.0,100.0,99.88,Punjab,2014-15
83,99.94,99.77,99.96,100.0,100.0,99.96,100.0,100.0,100.0,100.0,99.94,Punjab,2015-16
84,22.56,68.04,93.49,88.43,96.33,84.98,81.96,92.0,98.04,100.0,52.06,Rajasthan,2013-14
85,19.05,69.76,93.96,96.77,96.76,85.7,90.61,92.0,98.04,100.0,55.28,Rajasthan,2014-15
86,19.84,72.31,92.72,89.47,97.02,88.24,94.97,91.67,97.94,99.35055555555557,56.68,Rajasthan,2015-16
87,56.69,82.39,98.65,100.0,85.71,89.6,50.0,56.834,91.3342361111111,93.66166666666666,69.3,Sikkim,2013-14
88,59.16,81.68,97.53,100.0,83.33,88.15,50.0,55.301999999999985,88.75847222222221,93.57399999999998,70.72,Sikkim,2014-15
89,73.8,94.2,100.0,100.0,100.0,100.0,100.0,72.08800000000001,91.46715277777777,94.83666666666667,83.97,Sikkim,2015-16
90,97.21,99.13,99.73,96.88,97.03,98.3225,98.0575,100.0,100.0,100.0,97.69,Tamil Nadu,2013-14
91,97.77,99.39,100.0,97.39,99.96,98.71375,98.39666666666666,100.0,100.0,100.0,98.51,Tamil Nadu,2014-15
92,98.59,99.66,99.77,96.77,100.0,99.78,100.0,100.0,100.0,100.0,99.05,Tamil Nadu,2015-16
93,87.24,94.47,100.0,100.0,74.37,97.72,97.28,100.0,100.0,93.6,91.05,Telangana,2014-15
94,87.27,94.67,99.35,98.90599999999999,82.38,97.19,97.92,97.79346666666665,100.0,94.15,91.58,Telangana,2015-16
95,13.03,11.17,75.47,50.0,82.09,73.4,80.0,56.834,91.3342361111111,93.66166666666666,24.94,Tripura,2013-14
96,13.62,13.45,99.09,100.0,98.53,78.89,80.0,55.301999999999985,88.75847222222221,93.57399999999998,28.58,Tripura,2014-15
97,14.72,15.46,98.54,100.0,98.53,76.56,90.0,72.08800000000001,91.46715277777777,94.83666666666667,29.77,Tripura,2015-16
98,48.32,70.54,81.93,49.24,80.96,77.6,70.84,69.88,83.93,91.67,52.19,Uttar Pradesh,2013-14
99,49.64,71.85,85.29,50.49,81.93,75.92,72.22,70.39,83.97,90.0,53.59,Uttar Pradesh,2014-15
100,50.11,73.41,85.78,51.05,82.14,77.89,74.38,70.21,83.82,50.0,54.26,Uttar Pradesh,2015-16
101,68.32,88.88,98.14,79.87,96.17,96.45,84.75,61.87,83.54,100.0,74.21,Uttarakhand,2013-14
102,71.88,89.83,98.48,81.35,96.68,98.01,85.16,54.01,77.19,100.0,76.95,Uttarakhand,2014-15
103,73.55,91.79,99.18,82.11,96.56,98.78,86.26,64.26,82.76,100.0,78.64,Uttarakhand,2015-16
104,36.48,77.26,92.11,31.77,97.07,86.97,91.14,100.0,100.0,90.91,42.76,West Bengal,2013-14
105,52.52,79.66,91.75,45.63,98.16,90.91,93.59,52.993333333333325,100.0,91.67,56.96,West Bengal,2014-15
106,73.64,83.39,96.84,55.24,98.58,90.63,95.4,56.71,100.0,91.67,74.88,West Bengal,2015-16
107,46.38,69.56,94.92,45.97,93.72,83.12,86.84,75.08,82.88,91.01,56.78,All India,2013-14
108,49.63,73.26,95.27,48.33,94.81,84.03,89.14,77.55,83.85,92.67,60.01,All India,2014-15
109,52.4,76.44,94.81,49.86,94.48,88.1,90.82,81.5,86.85,92.86,62.81,All India,2015-16
